report_id,report_date,location,report_type,report_text,hazard_category,sif_precursor,severity,risk_score,recommended_action
OIL-SAF-01756,2026-06-24,Refinery,Near Miss,work area contained an obstruction during equipment maintenance at the refinery.,Housekeeping,No,Low,21,Supervisor review required
OIL-SAF-02516,2026-07-22,Workshop,Unsafe Act,pressure relief system was bypassed during routine maintenance at the workshop. Immediate corrective action was initiated.,Pressure,Yes,High,71,Stop activity and correct hazard
OIL-SAF-03586,2026-01-26,Maintenance Area,Unsafe Condition,person worked near an unprotected edge during contractor activity at the maintenance area.,Working at Height,Yes,High,60,Stop activity and correct hazard
OIL-SAF-04316,2025-05-31,Maintenance Area,Unsafe Act,operating procedure was not followed during plant operation at the maintenance area.,Process Safety,Yes,High,79,Stop activity and correct hazard
OIL-SAF-04967,2025-09-18,Production Unit,Unsafe Condition,entered tank without permit during equipment maintenance at the production unit.,Confined Space,Yes,High,58,Inspect area and implement controls
OIL-SAF-02100,2025-05-02,Refinery,Near Miss,flammable material was stored near ignition source during routine maintenance at the refinery. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,91,Supervisor review required
OIL-SAF-03600,2026-01-25,Drilling Site,Near Miss,process deviation was observed without corrective action during plant operation at the drilling site. Immediate corrective action was initiated.,Process Safety,Yes,High,98,Supervisor review required
OIL-SAF-04122,2025-12-21,Drilling Site,Unsafe Act,worker handled exposed electrical wiring during equipment maintenance at the drilling site.,Electrical,No,Low,29,Immediate intervention required
OIL-SAF-00030,2025-06-11,Maintenance Area,Near Miss,scaffold had missing guardrails during inspection at the maintenance area. Immediate corrective action was initiated.,Working at Height,Yes,High,59,Supervisor review required
OIL-SAF-00066,2025-09-07,Workshop,Near Miss,materials were stacked unsafely during inspection at the workshop.,Housekeeping,No,Low,23,Inspect area and implement controls
OIL-SAF-00839,2025-09-13,Maintenance Area,Unsafe Condition,improper lifting technique was observed during equipment maintenance at the maintenance area.,Lifting,Yes,High,58,Inspect area and implement controls
OIL-SAF-03907,2025-03-17,Storage Area,Unsafe Act,safety goggles were missing during contractor activity at the storage area.,PPE,No,Low,37,Supervisor review required
OIL-SAF-03774,2026-06-21,Gas Processing Plant,Unsafe Act,oil spill was observed on walking surface during inspection at the gas processing plant. No immediate injury was reported.,Housekeeping,No,Low,53,Stop activity and correct hazard
OIL-SAF-04636,2026-03-04,Production Unit,Near Miss,electrical panel was opened without isolation during contractor activity at the production unit.,Electrical,No,Low,7,Stop activity and correct hazard
OIL-SAF-03162,2025-08-26,Pipeline Area,Unsafe Act,stored energy was not released before maintenance during plant operation at the pipeline area.,Energy Isolation,Yes,High,87,Supervisor review required
OIL-SAF-02660,2025-06-22,Storage Area,Unsafe Act,person worked near an unprotected edge during inspection at the storage area.,Working at Height,Yes,High,81,Corrective action and follow-up required
OIL-SAF-04616,2025-07-15,Gas Processing Plant,Near Miss,process deviation was observed without corrective action during inspection at the gas processing plant. Immediate corrective action was initiated.,Process Safety,Yes,Critical,95,Immediate intervention required
OIL-SAF-04629,2025-03-24,Refinery,Unsafe Act,worker handled hazardous chemical without required protection during equipment maintenance at the refinery.,Chemical Exposure,Yes,Critical,77,Corrective action and follow-up required
OIL-SAF-02452,2025-03-25,Drilling Site,Unsafe Condition,entered confined space without gas testing during routine maintenance at the drilling site.,Confined Space,Yes,High,92,Stop activity and correct hazard
OIL-SAF-02847,2026-01-25,Refinery,Unsafe Condition,crane load was moved over personnel during loading/unloading at the refinery. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,93,Corrective action and follow-up required
OIL-SAF-01145,2025-10-26,Maintenance Area,Unsafe Condition,pressurized equipment was opened without depressurization during loading/unloading at the maintenance area. Immediate corrective action was initiated.,Pressure,Yes,Medium,96,Supervisor review required
OIL-SAF-03079,2026-03-11,Loading Area,Near Miss,oil spill was observed on walking surface during loading/unloading at the loading area. No immediate injury was reported.,Housekeeping,No,Low,9,Corrective action and follow-up required
OIL-SAF-01104,2025-02-12,Production Unit,Unsafe Act,worker was not wearing helmet during equipment maintenance at the production unit.,PPE,No,Low,37,Corrective action and follow-up required
OIL-SAF-00169,2026-08-10,Drilling Site,Unsafe Act,alarm was ignored during process operation during routine maintenance at the drilling site. Immediate corrective action was initiated.,Process Safety,Yes,High,86,Inspect area and implement controls
OIL-SAF-01671,2026-01-14,Drilling Site,Unsafe Condition,worker handled exposed electrical wiring during loading/unloading at the drilling site.,Electrical,No,Low,38,Immediate intervention required
OIL-SAF-02571,2025-07-22,Production Unit,Unsafe Condition,oil leakage was observed near hot equipment during contractor activity at the production unit.,Fire/Explosion,Yes,Critical,58,Stop activity and correct hazard
OIL-SAF-02378,2026-02-04,Workshop,Unsafe Condition,lockout tagout was not applied before maintenance during plant operation at the workshop. Immediate corrective action was initiated.,Energy Isolation,Yes,High,74,Stop activity and correct hazard
OIL-SAF-04396,2025-02-05,Storage Area,Near Miss,worker started maintenance without verifying zero energy during inspection at the storage area. Immediate corrective action was initiated.,Energy Isolation,Yes,Critical,81,Corrective action and follow-up required
OIL-SAF-04258,2026-04-22,Loading Area,Unsafe Condition,pressure relief system was bypassed during equipment maintenance at the loading area. Immediate corrective action was initiated.,Pressure,Yes,Critical,71,Corrective action and follow-up required
OIL-SAF-03863,2025-10-06,Refinery,Unsafe Act,pressure relief system was bypassed during routine maintenance at the refinery.,Pressure,Yes,Critical,76,Corrective action and follow-up required
OIL-SAF-00024,2026-02-04,Drilling Site,Unsafe Condition,pipeline maintenance started without pressure isolation during equipment maintenance at the drilling site. No immediate injury was reported.,Pressure,No,Medium,15,Inspect area and implement controls
OIL-SAF-02634,2026-07-04,Pipeline Area,Unsafe Condition,safety gloves were not used during plant operation at the pipeline area.,PPE,No,Low,27,Stop activity and correct hazard
OIL-SAF-03341,2025-01-08,Drilling Site,Unsafe Condition,operating procedure was not followed during plant operation at the drilling site.,Process Safety,Yes,Critical,97,Inspect area and implement controls
OIL-SAF-02216,2025-11-30,Maintenance Area,Unsafe Condition,pressure relief system was bypassed during routine maintenance at the maintenance area. Immediate corrective action was initiated.,Pressure,Yes,High,77,Stop activity and correct hazard
OIL-SAF-03683,2025-03-09,Refinery,Unsafe Act,critical safety barrier was bypassed during equipment maintenance at the refinery. Immediate corrective action was initiated.,Process Safety,Yes,High,57,Supervisor review required
OIL-SAF-04725,2025-09-21,Gas Processing Plant,Near Miss,safety gloves were not used during contractor activity at the gas processing plant. No immediate injury was reported.,PPE,No,Low,24,Corrective action and follow-up required
OIL-SAF-01908,2026-07-21,Workshop,Unsafe Act,entered confined space without gas testing during contractor activity at the workshop.,Confined Space,Yes,High,77,Stop activity and correct hazard
OIL-SAF-00085,2026-05-10,Gas Processing Plant,Near Miss,chemical container was leaking without containment during contractor activity at the gas processing plant. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,87,Supervisor review required
OIL-SAF-00228,2026-02-27,Refinery,Near Miss,improper lifting technique was observed during routine maintenance at the refinery.,Lifting,No,Low,47,Stop activity and correct hazard
OIL-SAF-00297,2025-10-17,Drilling Site,Unsafe Act,worker was working at height without fall protection during routine maintenance at the drilling site.,Working at Height,Yes,Critical,80,Inspect area and implement controls
OIL-SAF-01002,2026-08-09,Storage Area,Unsafe Act,entered confined space without gas testing during plant operation at the storage area. Immediate corrective action was initiated.,Confined Space,Yes,High,93,Supervisor review required
OIL-SAF-02139,2026-07-26,Storage Area,Unsafe Act,chemical transfer was performed without proper controls during equipment maintenance at the storage area.,Chemical Exposure,Yes,Critical,56,Corrective action and follow-up required
OIL-SAF-00712,2026-03-27,Storage Area,Unsafe Act,worker started maintenance without verifying zero energy during loading/unloading at the storage area.,Energy Isolation,Yes,High,64,Immediate intervention required
OIL-SAF-02802,2025-04-18,Production Unit,Unsafe Act,pressurized equipment was opened without depressurization during contractor activity at the production unit.,Pressure,Yes,High,56,Supervisor review required
OIL-SAF-02528,2025-05-28,Loading Area,Unsafe Act,entered tank without permit during contractor activity at the loading area.,Confined Space,Yes,High,90,Stop activity and correct hazard
OIL-SAF-03753,2026-03-19,Maintenance Area,Near Miss,worker was not wearing helmet during plant operation at the maintenance area.,PPE,No,Medium,47,Inspect area and implement controls
OIL-SAF-03322,2025-08-21,Maintenance Area,Near Miss,worker was not wearing helmet during equipment maintenance at the maintenance area. No immediate injury was reported.,PPE,No,Low,44,Corrective action and follow-up required
OIL-SAF-03182,2025-11-04,Refinery,Unsafe Act,load was unstable during lifting during equipment maintenance at the refinery. Immediate corrective action was initiated.,Lifting,Yes,High,62,Supervisor review required
OIL-SAF-04184,2025-05-27,Workshop,Unsafe Act,person stood too close to suspended load during contractor activity at the workshop.,Lifting,No,Low,38,Supervisor review required
OIL-SAF-01616,2025-02-26,Production Unit,Near Miss,pressurized equipment was opened without depressurization during routine maintenance at the production unit.,Pressure,Yes,High,56,Corrective action and follow-up required
OIL-SAF-03025,2026-04-08,Pipeline Area,Unsafe Act,materials were stacked unsafely during contractor activity at the pipeline area. No immediate injury was reported.,Housekeeping,No,Medium,23,Inspect area and implement controls
OIL-SAF-01414,2026-02-07,Drilling Site,Unsafe Act,worker started maintenance without verifying zero energy during plant operation at the drilling site.,Energy Isolation,Yes,High,67,Immediate intervention required
OIL-SAF-00764,2025-05-16,Workshop,Unsafe Condition,worker was working at height without fall protection during equipment maintenance at the workshop. Immediate corrective action was initiated.,Working at Height,Yes,High,76,Stop activity and correct hazard
OIL-SAF-00656,2025-04-25,Drilling Site,Near Miss,worker handled exposed electrical wiring during equipment maintenance at the drilling site.,Electrical,Yes,High,60,Immediate intervention required
OIL-SAF-04798,2025-11-20,Gas Processing Plant,Unsafe Condition,load was unstable during lifting during inspection at the gas processing plant. Immediate corrective action was initiated.,Lifting,Yes,High,99,Stop activity and correct hazard
OIL-SAF-03850,2026-03-17,Loading Area,Near Miss,pipeline maintenance started without pressure isolation during inspection at the loading area.,Pressure,Yes,Critical,69,Inspect area and implement controls
OIL-SAF-04154,2026-04-03,Workshop,Unsafe Condition,worker started maintenance without verifying zero energy during loading/unloading at the workshop.,Energy Isolation,No,Low,51,Inspect area and implement controls
OIL-SAF-00469,2025-09-24,Workshop,Unsafe Condition,worker was exposed to high pressure line during plant operation at the workshop. Immediate corrective action was initiated.,Pressure,Yes,Critical,83,Stop activity and correct hazard
OIL-SAF-00158,2025-07-15,Pipeline Area,Near Miss,stored energy was not released before maintenance during routine maintenance at the pipeline area.,Energy Isolation,No,Low,21,Inspect area and implement controls
OIL-SAF-01296,2026-08-23,Refinery,Unsafe Condition,technician used ladder without proper fall protection during contractor activity at the refinery. Immediate corrective action was initiated.,Working at Height,Yes,Critical,62,Stop activity and correct hazard
OIL-SAF-00498,2026-06-08,Storage Area,Unsafe Act,vehicle and pedestrian routes were not segregated during plant operation at the storage area.,Heavy Equipment,Yes,Critical,99,Corrective action and follow-up required
OIL-SAF-04741,2025-08-04,Loading Area,Near Miss,worker was working at height without fall protection during loading/unloading at the loading area.,Working at Height,Yes,Critical,74,Supervisor review required
OIL-SAF-02941,2025-08-14,Loading Area,Unsafe Condition,materials were stacked unsafely during routine maintenance at the loading area.,Housekeeping,No,Medium,23,Inspect area and implement controls
OIL-SAF-03457,2026-01-02,Loading Area,Unsafe Act,pressurized equipment was opened without depressurization during loading/unloading at the loading area.,Pressure,Yes,Medium,83,Immediate intervention required
OIL-SAF-00374,2025-03-02,Workshop,Near Miss,worker stood within equipment blind spot during routine maintenance at the workshop. No immediate injury was reported.,Heavy Equipment,No,Low,15,Stop activity and correct hazard
OIL-SAF-00080,2025-04-18,Workshop,Near Miss,required PPE was not worn during plant operation at the workshop. No immediate injury was reported.,PPE,No,Low,31,Stop activity and correct hazard
OIL-SAF-01554,2025-12-16,Refinery,Unsafe Act,hot work was performed without adequate fire protection during routine maintenance at the refinery. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,99,Stop activity and correct hazard
OIL-SAF-01670,2025-12-18,Loading Area,Unsafe Act,technician used ladder without proper fall protection during inspection at the loading area.,Working at Height,Yes,Critical,85,Supervisor review required
OIL-SAF-02132,2025-03-26,Gas Processing Plant,Unsafe Act,entered tank without permit during contractor activity at the gas processing plant.,Confined Space,Yes,High,67,Stop activity and correct hazard
OIL-SAF-04440,2025-11-10,Loading Area,Unsafe Act,maintenance was performed without electrical lockout during routine maintenance at the loading area. Immediate corrective action was initiated.,Electrical,Yes,High,98,Stop activity and correct hazard
OIL-SAF-00466,2025-10-18,Gas Processing Plant,Unsafe Condition,worker was working at height without fall protection during plant operation at the gas processing plant. Immediate corrective action was initiated.,Working at Height,Yes,Critical,79,Supervisor review required
OIL-SAF-00249,2026-02-23,Workshop,Near Miss,improper lifting technique was observed during contractor activity at the workshop. No immediate injury was reported.,Lifting,No,Low,23,Supervisor review required
OIL-SAF-00932,2025-04-14,Refinery,Unsafe Act,electrical panel was opened without isolation during equipment maintenance at the refinery. Immediate corrective action was initiated.,Electrical,Yes,High,73,Supervisor review required
OIL-SAF-01336,2025-11-18,Production Unit,Unsafe Act,critical safety barrier was bypassed during loading/unloading at the production unit. Immediate corrective action was initiated.,Process Safety,Yes,High,91,Immediate intervention required
OIL-SAF-04525,2025-10-22,Maintenance Area,Unsafe Condition,gas leak was detected near an ignition source during loading/unloading at the maintenance area.,Fire/Explosion,No,Medium,21,Immediate intervention required
OIL-SAF-01339,2026-01-26,Drilling Site,Unsafe Act,poor housekeeping created a slip hazard during routine maintenance at the drilling site. No immediate injury was reported.,Housekeeping,No,Low,44,Stop activity and correct hazard
OIL-SAF-01407,2026-01-01,Gas Processing Plant,Unsafe Act,chemical container was leaking without containment during routine maintenance at the gas processing plant.,Chemical Exposure,Yes,High,70,Inspect area and implement controls
OIL-SAF-01091,2026-01-11,Storage Area,Near Miss,gas leak was detected near an ignition source during contractor activity at the storage area. No immediate injury was reported.,Fire/Explosion,No,Medium,33,Corrective action and follow-up required
OIL-SAF-04210,2025-04-04,Storage Area,Near Miss,entered confined space without gas testing during inspection at the storage area.,Confined Space,Yes,High,83,Stop activity and correct hazard
OIL-SAF-00743,2025-04-15,Refinery,Near Miss,electrical panel was opened without isolation during routine maintenance at the refinery.,Electrical,No,Low,34,Corrective action and follow-up required
OIL-SAF-02324,2025-04-01,Gas Processing Plant,Unsafe Act,person stood too close to suspended load during equipment maintenance at the gas processing plant.,Lifting,No,Medium,49,Corrective action and follow-up required
OIL-SAF-03602,2026-06-05,Drilling Site,Near Miss,scaffold had missing guardrails during routine maintenance at the drilling site.,Working at Height,Yes,Medium,60,Inspect area and implement controls
OIL-SAF-02124,2025-08-01,Maintenance Area,Near Miss,chemical transfer was performed without proper controls during inspection at the maintenance area. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,97,Inspect area and implement controls
OIL-SAF-02095,2026-06-26,Pipeline Area,Unsafe Act,vehicle and pedestrian routes were not segregated during contractor activity at the pipeline area.,Heavy Equipment,Yes,Medium,91,Stop activity and correct hazard
OIL-SAF-00241,2026-03-18,Maintenance Area,Unsafe Act,worker was working at height without fall protection during inspection at the maintenance area. Immediate corrective action was initiated.,Working at Height,Yes,Critical,61,Supervisor review required
OIL-SAF-02352,2026-06-03,Gas Processing Plant,Unsafe Condition,person worked near an unprotected edge during plant operation at the gas processing plant.,Working at Height,Yes,High,77,Supervisor review required
OIL-SAF-01371,2025-11-10,Refinery,Near Miss,operating procedure was not followed during contractor activity at the refinery. Immediate corrective action was initiated.,Process Safety,Yes,Critical,58,Inspect area and implement controls
OIL-SAF-01058,2025-11-06,Workshop,Unsafe Condition,toxic vapor was observed in work area during routine maintenance at the workshop.,Chemical Exposure,Yes,High,81,Stop activity and correct hazard
OIL-SAF-04817,2025-12-19,Drilling Site,Unsafe Condition,worker started maintenance without verifying zero energy during routine maintenance at the drilling site.,Energy Isolation,Yes,Critical,61,Inspect area and implement controls
OIL-SAF-00200,2025-09-21,Workshop,Near Miss,worker handled hazardous chemical without required protection during inspection at the workshop.,Chemical Exposure,Yes,Critical,76,Stop activity and correct hazard
OIL-SAF-02281,2025-07-18,Workshop,Unsafe Condition,vehicle and pedestrian routes were not segregated during inspection at the workshop.,Heavy Equipment,Yes,Critical,75,Supervisor review required
OIL-SAF-04750,2026-02-15,Workshop,Near Miss,entered confined space without gas testing during plant operation at the workshop. Immediate corrective action was initiated.,Confined Space,Yes,Critical,89,Supervisor review required
OIL-SAF-02221,2025-12-15,Refinery,Unsafe Act,safety goggles were missing during equipment maintenance at the refinery. No immediate injury was reported.,PPE,No,Medium,9,Immediate intervention required
OIL-SAF-04772,2025-11-23,Workshop,Unsafe Condition,toxic vapor was observed in work area during plant operation at the workshop. No immediate injury was reported.,Chemical Exposure,No,Low,7,Supervisor review required
OIL-SAF-02820,2026-07-09,Maintenance Area,Unsafe Condition,oil leakage was observed near hot equipment during inspection at the maintenance area.,Fire/Explosion,No,Medium,12,Stop activity and correct hazard
OIL-SAF-03151,2026-05-18,Drilling Site,Unsafe Act,oil leakage was observed near hot equipment during plant operation at the drilling site.,Fire/Explosion,Yes,Critical,80,Inspect area and implement controls
OIL-SAF-04257,2025-06-07,Storage Area,Unsafe Condition,worker entered the operating area of heavy equipment during inspection at the storage area. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,93,Supervisor review required
OIL-SAF-03108,2025-09-06,Storage Area,Near Miss,hot work was performed without adequate fire protection during contractor activity at the storage area. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,95,Inspect area and implement controls
OIL-SAF-01974,2025-05-18,Pipeline Area,Unsafe Act,equipment was isolated incorrectly during routine maintenance at the pipeline area. Immediate corrective action was initiated.,Energy Isolation,Yes,High,89,Immediate intervention required
OIL-SAF-01376,2025-08-31,Production Unit,Unsafe Act,worker was working at height without fall protection during inspection at the production unit. Immediate corrective action was initiated.,Working at Height,Yes,High,59,Immediate intervention required
OIL-SAF-03969,2026-01-24,Gas Processing Plant,Near Miss,safety goggles were missing during contractor activity at the gas processing plant.,PPE,No,Low,33,Supervisor review required
OIL-SAF-04063,2025-05-19,Pipeline Area,Unsafe Act,critical safety barrier was bypassed during inspection at the pipeline area. Immediate corrective action was initiated.,Process Safety,Yes,High,55,Corrective action and follow-up required
OIL-SAF-04446,2026-02-16,Loading Area,Near Miss,entered tank without permit during contractor activity at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,High,82,Corrective action and follow-up required
OIL-SAF-03558,2025-08-03,Loading Area,Unsafe Act,safety gloves were not used during plant operation at the loading area. No immediate injury was reported.,PPE,No,Low,41,Stop activity and correct hazard
OIL-SAF-00965,2026-03-03,Gas Processing Plant,Unsafe Act,worker handled hazardous chemical without required protection during routine maintenance at the gas processing plant. Immediate corrective action was initiated.,Chemical Exposure,Yes,Medium,59,Stop activity and correct hazard
OIL-SAF-00180,2025-11-12,Storage Area,Near Miss,maintenance was performed without electrical lockout during equipment maintenance at the storage area. Immediate corrective action was initiated.,Electrical,Yes,High,87,Supervisor review required
OIL-SAF-03699,2026-03-02,Drilling Site,Near Miss,worker started maintenance without verifying zero energy during inspection at the drilling site.,Energy Isolation,Yes,Critical,76,Stop activity and correct hazard
OIL-SAF-03822,2025-12-19,Storage Area,Unsafe Act,worker was working at height without fall protection during inspection at the storage area. Immediate corrective action was initiated.,Working at Height,Yes,High,70,Immediate intervention required
OIL-SAF-04879,2025-05-11,Workshop,Unsafe Act,maintenance was performed without electrical lockout during inspection at the workshop. Immediate corrective action was initiated.,Electrical,Yes,High,63,Immediate intervention required
OIL-SAF-03900,2025-06-21,Loading Area,Unsafe Act,worked inside vessel without atmospheric monitoring during equipment maintenance at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,High,81,Supervisor review required
OIL-SAF-04488,2025-04-22,Storage Area,Near Miss,worker handled hazardous chemical without required protection during routine maintenance at the storage area.,Chemical Exposure,No,Low,39,Immediate intervention required
OIL-SAF-03239,2026-05-09,Loading Area,Unsafe Act,entered confined space without gas testing during inspection at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,Critical,56,Stop activity and correct hazard
OIL-SAF-02975,2026-01-29,Pipeline Area,Unsafe Act,worker handled exposed electrical wiring during plant operation at the pipeline area. Immediate corrective action was initiated.,Electrical,Yes,Medium,80,Immediate intervention required
OIL-SAF-03581,2026-07-07,Maintenance Area,Near Miss,oil leakage was observed near hot equipment during routine maintenance at the maintenance area. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,79,Immediate intervention required
OIL-SAF-02888,2025-08-17,Refinery,Unsafe Condition,chemical transfer was performed without proper controls during plant operation at the refinery. No immediate injury was reported.,Chemical Exposure,No,Low,38,Stop activity and correct hazard
OIL-SAF-02576,2025-03-26,Pipeline Area,Unsafe Act,pressurized equipment was opened without depressurization during routine maintenance at the pipeline area. Immediate corrective action was initiated.,Pressure,Yes,High,96,Stop activity and correct hazard
OIL-SAF-01420,2025-06-13,Maintenance Area,Unsafe Act,entered confined space without gas testing during contractor activity at the maintenance area.,Confined Space,No,Low,29,Immediate intervention required
OIL-SAF-03908,2026-04-09,Loading Area,Unsafe Condition,critical safety barrier was bypassed during routine maintenance at the loading area.,Process Safety,No,Low,38,Stop activity and correct hazard
OIL-SAF-04674,2025-10-24,Workshop,Near Miss,worker started maintenance without verifying zero energy during inspection at the workshop. Immediate corrective action was initiated.,Energy Isolation,Yes,Critical,63,Stop activity and correct hazard
OIL-SAF-04903,2026-08-19,Storage Area,Unsafe Act,lockout tagout was not applied before maintenance during inspection at the storage area.,Energy Isolation,Yes,High,84,Immediate intervention required
OIL-SAF-01861,2026-05-31,Refinery,Near Miss,process deviation was observed without corrective action during routine maintenance at the refinery.,Process Safety,Yes,High,82,Supervisor review required
